,A1,A2,A3,A4,B1,B2,B3,B4,all8
0,-0.249887853,-0.185525623,0.109681293,0.983378344,0.235190616,0.960379141,0.957427108,0.977400409,0.994366152
1,-0.226886173,-0.253618749,0.124972105,0.972746914,0.324124695,0.949454679,0.967558894,0.944485786,1
2,-0.330358521,0.052105711,0.047673129,0.968245837,0.285108148,0.960706775,0.958314847,0.973328527,0.973328527
3,-0.14015696,-0.288800075,-0.037329298,0.971504104,0.234167238,0.942534525,0.945313187,0.971331643,0.994100243
4,0.153837051,0.026443135,0.152684497,0.937600032,0.24972017,0.948760197,0.955535456,0.937590341,0.960220058
5,0.065786473,0.699025295,-0.020495935,0.972139365,0.227445705,0.908149934,0.92736185,0.938358278,0.983001595
6,0.020587952,-0.057664157,-0.057664157,0.995180695,0.196655348,0.971753779,0.972087511,1,0.995180695
7,-0.179333554,0.678063504,-0.448388452,0.981761387,-0.836793584,0.929466118,0.932504808,0.95865344,0.977190722
8,0.06829269,0,0.048640888,0.984414631,0.264763024,0.940822304,0.964724349,0.971880942,0.989528507
9,-0.224374041,0,-0.327898922,0.935011021,-0.758876759,0.94629754,0.912627416,0.937754626,0.94760784
10,0.028163799,-0.008835977,0.0619768,0.979164382,0.286056949,0.909280472,0.941123948,0.9546851,0.97734255
11,0.050080598,-0.003029725,0.050542305,0.950230797,0.298149051,0.97872097,0.935414347,0.960578577,0.960578577
12,-0.288482087,0.018608932,-0.847361775,0.95811081,-0.869448199,0.964321029,0.952008075,0.970642333,0.970642333
13,-0.077216532,-0.076665188,0.138323353,0.983738754,0.169179338,0.914642817,0.968245837,0.932183908,0.971748096
14,-0.008558379,0,0.113578056,0.983738754,0.296413321,0.973328527,0.968245837,1,0.994490316
15,0.007256214,-0.028697202,0,0.959811792,0.262458834,0.914108287,0.936102911,0.932097187,0.965569155
16,-0.135449326,-0.752180431,-0.754326457,0.994169047,0.309693418,0.931019291,0.961203955,0.977365729,0.977365729
17,0.065382114,0.053680639,0.10090904,0.966644088,0.22485312,0.961455011,0.936502927,0.943235518,0.977237654
18,0.08589331,0,0.10966464,0.994666629,0.333162217,0.955869745,0.969223369,0.97734255,0.994666629
19,-0.314395656,0.276219951,0.105762923,0.960324019,0.247406406,0.953469525,0.971175483,0.988165264,0.988165264
20,-0.142537067,0.038348249,0.094606624,0.97849211,0.169817739,0.932183908,0.934765429,0.971748096,0.983128597
21,-0.224689317,0.074911806,-0.156955804,0.965842321,0.288816475,0.972446489,0.949170893,0.971572845,0.977394636
22,-0.108764802,0.696813557,-0.037115374,0.982607369,0.257554536,0.965419108,0.930580132,0.994100243,0.965419108
23,-0.181528669,0,-0.741776623,0.960011203,0.304761419,0.920020508,0.92736185,0.928762737,0.971499853
24,0.029879833,0.076379242,0.113246712,0.989637026,0.259962323,0.956020614,0.960380184,0.959879225,0.989637026
25,-0.19034239,-0.232657679,-0.754326457,0.954144524,0.278624698,0.954144524,0.945905303,0.954731458,0.977365729
26,-0.011748534,-0.056655857,0.016547779,0.96857851,0.217074942,0.94502928,0.939944225,0.989188872,0.98391316
27,-0.266479089,-0.411505795,-0.727321707,0.971572845,0.267463864,0.971572845,0.938464182,0.944578521,0.98331059
28,0.095878886,-0.055379513,-0.055379513,0.984574911,0.268360506,0.931835687,0.969842286,0.960171533,1
29,-0.171846626,0.698836242,-0.033086111,0.977008421,0.300034292,0.93048421,0.960768923,0.977225673,0.994100243
30,-0.036288884,-0.010964912,-0.055670221,0.974933356,0.278471962,0.938178095,0.947204446,0.960043806,0.989743319
31,0.05081716,-0.180654247,0,0.955097262,0.250915925,0.966080308,0.973040858,0.96072123,0.96072123
